Fr[0][0] = 2.000000 ,Fi[0][0] = 2.000000
Fr[0][1] = 3.000000 ,Fi[0][1] = 3.000000
Fr[0][2] = 4.000000 ,Fi[0][2] = 4.000000
Fr[0][3] = 5.000000 ,Fi[0][3] = 5.000000
Fr[0][4] = 6.000000 ,Fi[0][4] = 6.000000
Fr[0][5] = 7.000000 ,Fi[0][5] = 7.000000
Fr[0][6] = 8.000000 ,Fi[0][6] = 8.000000
Fr[0][7] = 9.000000 ,Fi[0][7] = 9.000000
Fr[1][0] = 3.000000 ,Fi[1][0] = 3.000000
Fr[1][1] = 4.000000 ,Fi[1][1] = 4.000000
Fr[1][2] = 5.000000 ,Fi[1][2] = 5.000000
Fr[1][3] = 6.000000 ,Fi[1][3] = 6.000000
Fr[1][4] = 7.000000 ,Fi[1][4] = 7.000000
Fr[1][5] = 8.000000 ,Fi[1][5] = 8.000000
Fr[1][6] = 9.000000 ,Fi[1][6] = 9.000000
Fr[1][7] = 10.000000 ,Fi[1][7] = 10.000000
Fr[2][0] = 4.000000 ,Fi[2][0] = 4.000000
Fr[2][1] = 5.000000 ,Fi[2][1] = 5.000000
Fr[2][2] = 6.000000 ,Fi[2][2] = 6.000000
Fr[2][3] = 7.000000 ,Fi[2][3] = 7.000000
Fr[2][4] = 8.000000 ,Fi[2][4] = 8.000000
Fr[2][5] = 9.000000 ,Fi[2][5] = 9.000000
Fr[2][6] = 10.000000 ,Fi[2][6] = 10.000000
Fr[2][7] = 11.000000 ,Fi[2][7] = 11.000000
Fr[3][0] = 5.000000 ,Fi[3][0] = 5.000000
Fr[3][1] = 6.000000 ,Fi[3][1] = 6.000000
Fr[3][2] = 7.000000 ,Fi[3][2] = 7.000000
Fr[3][3] = 8.000000 ,Fi[3][3] = 8.000000
Fr[3][4] = 9.000000 ,Fi[3][4] = 9.000000
Fr[3][5] = 10.000000 ,Fi[3][5] = 10.000000
Fr[3][6] = 11.000000 ,Fi[3][6] = 11.000000
Fr[3][7] = 12.000000 ,Fi[3][7] = 12.000000
Fr[4][0] = 6.000000 ,Fi[4][0] = 6.000000
Fr[4][1] = 7.000000 ,Fi[4][1] = 7.000000
Fr[4][2] = 8.000000 ,Fi[4][2] = 8.000000
Fr[4][3] = 9.000000 ,Fi[4][3] = 9.000000
Fr[4][4] = 10.000000 ,Fi[4][4] = 10.000000
Fr[4][5] = 11.000000 ,Fi[4][5] = 11.000000
Fr[4][6] = 12.000000 ,Fi[4][6] = 12.000000
Fr[4][7] = 13.000000 ,Fi[4][7] = 13.000000
Fr[5][0] = 7.000000 ,Fi[5][0] = 7.000000
Fr[5][1] = 8.000000 ,Fi[5][1] = 8.000000
Fr[5][2] = 9.000000 ,Fi[5][2] = 9.000000
Fr[5][3] = 10.000000 ,Fi[5][3] = 10.000000
Fr[5][4] = 11.000000 ,Fi[5][4] = 11.000000
Fr[5][5] = 12.000000 ,Fi[5][5] = 12.000000
Fr[5][6] = 13.000000 ,Fi[5][6] = 13.000000
Fr[5][7] = 14.000000 ,Fi[5][7] = 14.000000
Fr[6][0] = 8.000000 ,Fi[6][0] = 8.000000
Fr[6][1] = 9.000000 ,Fi[6][1] = 9.000000
Fr[6][2] = 10.000000 ,Fi[6][2] = 10.000000
Fr[6][3] = 11.000000 ,Fi[6][3] = 11.000000
Fr[6][4] = 12.000000 ,Fi[6][4] = 12.000000
Fr[6][5] = 13.000000 ,Fi[6][5] = 13.000000
Fr[6][6] = 14.000000 ,Fi[6][6] = 14.000000
Fr[6][7] = 15.000000 ,Fi[6][7] = 15.000000
Fr[7][0] = 9.000000 ,Fi[7][0] = 9.000000
Fr[7][1] = 10.000000 ,Fi[7][1] = 10.000000
Fr[7][2] = 11.000000 ,Fi[7][2] = 11.000000
Fr[7][3] = 12.000000 ,Fi[7][3] = 12.000000
Fr[7][4] = 13.000000 ,Fi[7][4] = 13.000000
Fr[7][5] = 14.000000 ,Fi[7][5] = 14.000000
Fr[7][6] = 15.000000 ,Fi[7][6] = 15.000000
Fr[7][7] = 16.000000 ,Fi[7][7] = 16.000000

Fr[0][0] = 576.000000 ,Fi[0][0] = 576.000000
Fr[0][1] = -27.313708 ,Fi[0][1] = 11.313708
Fr[0][2] = -64.000000 ,Fi[0][2] = -0.000000
Fr[0][3] = -11.313708 ,Fi[0][3] = -4.686292
Fr[0][4] = -128.000000 ,Fi[0][4] = -128.000000
Fr[0][5] = -4.686292 ,Fi[0][5] = -11.313708
Fr[0][6] = 0.000000 ,Fi[0][6] = -64.000000
Fr[0][7] = 11.313708 ,Fi[0][7] = -27.313708
Fr[1][0] = -27.313708 ,Fi[1][0] = 11.313708
Fr[1][1] = 0.000000 ,Fi[1][1] = 0.000000
Fr[1][2] = 0.000000 ,Fi[1][2] = 0.000000
Fr[1][3] = 0.000000 ,Fi[1][3] = 0.000000
Fr[1][4] = 0.000000 ,Fi[1][4] = 0.000000
Fr[1][5] = 0.000000 ,Fi[1][5] = 0.000000
Fr[1][6] = 0.000000 ,Fi[1][6] = 0.000000
Fr[1][7] = 0.000000 ,Fi[1][7] = 0.000000
Fr[2][0] = -64.000000 ,Fi[2][0] = -0.000000
Fr[2][1] = 0.000000 ,Fi[2][1] = 0.000000
Fr[2][2] = 0.000000 ,Fi[2][2] = 0.000000
Fr[2][3] = 0.000000 ,Fi[2][3] = 0.000000
Fr[2][4] = 0.000000 ,Fi[2][4] = 0.000000
Fr[2][5] = 0.000000 ,Fi[2][5] = 0.000000
Fr[2][6] = 0.000000 ,Fi[2][6] = 0.000000
Fr[2][7] = 0.000000 ,Fi[2][7] = 0.000000
Fr[3][0] = -11.313708 ,Fi[3][0] = -4.686292
Fr[3][1] = 0.000000 ,Fi[3][1] = 0.000000
Fr[3][2] = 0.000000 ,Fi[3][2] = 0.000000
Fr[3][3] = 0.000000 ,Fi[3][3] = 0.000000
Fr[3][4] = 0.000000 ,Fi[3][4] = 0.000000
Fr[3][5] = 0.000000 ,Fi[3][5] = 0.000000
Fr[3][6] = 0.000000 ,Fi[3][6] = 0.000000
Fr[3][7] = 0.000000 ,Fi[3][7] = 0.000000
Fr[4][0] = -128.000000 ,Fi[4][0] = -128.000000
Fr[4][1] = 0.000000 ,Fi[4][1] = 0.000000
Fr[4][2] = 0.000000 ,Fi[4][2] = 0.000000
Fr[4][3] = 0.000000 ,Fi[4][3] = 0.000000
Fr[4][4] = 0.000000 ,Fi[4][4] = 0.000000
Fr[4][5] = 0.000000 ,Fi[4][5] = 0.000000
Fr[4][6] = 0.000000 ,Fi[4][6] = 0.000000
Fr[4][7] = 0.000000 ,Fi[4][7] = 0.000000
Fr[5][0] = -4.686292 ,Fi[5][0] = -11.313708
Fr[5][1] = 0.000000 ,Fi[5][1] = 0.000000
Fr[5][2] = 0.000000 ,Fi[5][2] = 0.000000
Fr[5][3] = 0.000000 ,Fi[5][3] = 0.000000
Fr[5][4] = 0.000000 ,Fi[5][4] = 0.000000
Fr[5][5] = 0.000000 ,Fi[5][5] = 0.000000
Fr[5][6] = 0.000000 ,Fi[5][6] = 0.000000
Fr[5][7] = 0.000000 ,Fi[5][7] = 0.000000
Fr[6][0] = 0.000000 ,Fi[6][0] = -64.000000
Fr[6][1] = 0.000000 ,Fi[6][1] = 0.000000
Fr[6][2] = 0.000000 ,Fi[6][2] = 0.000000
Fr[6][3] = 0.000000 ,Fi[6][3] = 0.000000
Fr[6][4] = 0.000000 ,Fi[6][4] = 0.000000
Fr[6][5] = 0.000000 ,Fi[6][5] = 0.000000
Fr[6][6] = 0.000000 ,Fi[6][6] = 0.000000
